,PORTUGUÊS,ENGLISH,ESPAÑOL,FRANÇAIS
TUTORIAL_PLAY_PAUSE_DESCRIPTION,Continue quando estiver pronto.,Continue when you are ready.,Continúa cuando estés listo.,Continuez quand vous êtes prêt.
TUTORIAL_PLAY_RESUME,CONTINUAR,CONTINUE,CONTINUAR,CONTINUER
TUTORIAL_PLAY_MAIN_MENU,MENU PRINCIPAL,MAIN MENU,MENÚ PRINCIPAL,MENU PRINCIPAL
TUTORIAL_PLAY_COMPLETE_TITLE,TREINAMENTO CONCLUÍDO,TRAINING COMPLETE,ENTRENAMIENTO COMPLETADO,ENTRAÎNEMENT TERMINÉ
TUTORIAL_PLAY_COMPLETE_DESCRIPTION,Você se moveu correu empurrou uma caixa usou a lanterna apagou o fogo e ativou o terminal.,You moved ran pushed a crate used the flashlight extinguished the fire and activated the terminal.,Te moviste corriste empujaste una caja usaste la linterna apagaste el fuego y activaste el terminal.,Vous vous êtes déplacé avez couru poussé une caisse utilisé la lampe éteint le feu et activé le terminal.
TUTORIAL_PLAY_REPLAY,REPETIR,REPLAY,REPETIR,REJOUER
TUTORIAL_PLAY_MENU,MENU,MENU,MENÚ,MENU
TUTORIAL_PLAY_LIGHT_TITLE,USE A LANTERNA,USE THE FLASHLIGHT,USA LA LINTERNA,UTILISEZ LA LAMPE
TUTORIAL_PLAY_LIGHT_OBJECTIVE,Equipe com {equip} e acenda com {toggle}.,Equip with {equip} and turn it on with {toggle}.,Equípala con {equip} y enciéndela con {toggle}.,Équipez-la avec {equip} puis allumez-la avec {toggle}.
TUTORIAL_PLAY_LIGHT_HINT,A sala está escura. Use o feixe para explorar.,The room is dark. Use the beam to explore.,La sala está oscura. Usa el haz para explorar.,La salle est sombre. Utilisez le faisceau pour explorer.
TUTORIAL_PLAY_LIGHT_EQUIPPED,Lanterna equipada. Pressione {toggle} para acender a luz.,Flashlight equipped. Press {toggle} to turn on the light.,Linterna equipada. Pulsa {toggle} para encender la luz.,Lampe équipée. Appuyez sur {toggle} pour l'allumer.
TUTORIAL_PLAY_LIGHT_SEARCH_TITLE,ENCONTRE O EXTINTOR,FIND THE EXTINGUISHER,ENCUENTRA EL EXTINTOR,TROUVEZ L'EXTINCTEUR
TUTORIAL_PLAY_LIGHT_SEARCH_OBJECTIVE,Vasculhe a área escura usando o feixe.,Search the dark area using the beam.,Busca en el área oscura usando el haz.,Explorez la zone sombre avec le faisceau.
TUTORIAL_PLAY_LIGHT_SEARCH_HINT,O feixe revela os objetos escondidos no caminho.,The beam reveals objects hidden along the way.,El haz revela los objetos ocultos en el camino.,Le faisceau révèle les objets cachés sur le chemin.
TUTORIAL_PLAY_LIGHT_STORE_TITLE,GUARDE A LANTERNA,PUT AWAY THE FLASHLIGHT,GUARDA LA LINTERNA,RANGEZ LA LAMPE
TUTORIAL_PLAY_LIGHT_STORE_OBJECTIVE,Pressione {equip} para guardar. Depois use {interact} para coletar.,Press {equip} to put it away. Then use {interact} to collect.,Pulsa {equip} para guardarla. Después usa {interact} para recoger.,Appuyez sur {equip} pour la ranger. Puis utilisez {interact} pour ramasser.
TUTORIAL_PLAY_LIGHT_STORE_HINT,Guarde o item equipado antes de pegar outro.,Put away the equipped item before picking up another.,Guarda el objeto equipado antes de recoger otro.,Rangez l'objet équipé avant d'en ramasser un autre.
TUTORIAL_PLAY_LIGHT_COLLECT_TITLE,COLETE O EXTINTOR,COLLECT THE EXTINGUISHER,RECOGE EL EXTINTOR,RAMASSEZ L'EXTINCTEUR
TUTORIAL_PLAY_LIGHT_COLLECT_OBJECTIVE,Lanterna guardada. Pressione {interact} para coletar.,Flashlight put away. Press {interact} to collect.,Linterna guardada. Pulsa {interact} para recoger.,Lampe rangée. Appuyez sur {interact} pour ramasser.
TUTORIAL_PLAY_LIGHT_COLLECT_HINT,O extintor será colocado no inventário.,The extinguisher will be placed in the inventory.,El extintor se guardará en el inventario.,L'extincteur sera placé dans l'inventaire.
TUTORIAL_PLAY_DARK_ZONE,PROCURE AQUI,SEARCH HERE,BUSCA AQUÍ,CHERCHEZ ICI
TUTORIAL_PLAY_EXTINGUISHER_LABEL,Extintor,Extinguisher,Extintor,Extincteur
TUTORIAL_PLAY_FIRE_TITLE,APAGUE O FOGO,EXTINGUISH THE FIRE,APAGA EL FUEGO,ÉTEIGNEZ LE FEU
TUTORIAL_PLAY_FIRE_OBJECTIVE,Pressione {equip} para equipar o extintor. Mantenha {use} apontando para o fogo.,Press {equip} to equip the extinguisher. Hold {use} while aiming at the fire.,Pulsa {equip} para equipar el extintor. Mantén {use} apuntando al fuego.,Appuyez sur {equip} pour équiper l'extincteur. Maintenez {use} en visant le feu.
TUTORIAL_PLAY_FIRE_HINT,Fique a uma distância segura e direcione o jato até apagar completamente.,Keep a safe distance and aim the spray until the fire is fully out.,Mantén una distancia segura y dirige el chorro hasta apagarlo por completo.,Restez à bonne distance et dirigez le jet jusqu'à l'extinction complète.
TUTORIAL_PLAY_FIRE_ACTIVE,Jato ativo. Continue mirando no fogo.,Spray active. Keep aiming at the fire.,Chorro activo. Sigue apuntando al fuego.,Jet actif. Continuez à viser le feu.
TUTORIAL_PLAY_FIRE_PROGRESS,Fogo restante: {remaining}%,Fire remaining: {remaining}%,Fuego restante: {remaining}%,Feu restant : {remaining} %
TUTORIAL_PLAY_FIRE_LABEL,FOGO,FIRE,FUEGO,FEU
TUTORIAL_PLAY_FUEL_EMPTY_TITLE,COMBUSTÍVEL ESGOTADO,FUEL DEPLETED,COMBUSTIBLE AGOTADO,RÉSERVOIR VIDE
TUTORIAL_PLAY_FUEL_EMPTY_OBJECTIVE,O extintor tem combustível limitado. Colete o novo com {interact}.,The extinguisher has limited fuel. Collect the new one with {interact}.,El extintor tiene combustible limitado. Recoge el nuevo con {interact}.,L'extincteur a un réservoir limité. Ramassez le nouveau avec {interact}.
TUTORIAL_PLAY_FUEL_EMPTY_HINT,A barra indica quanto combustível ainda resta.,The bar shows how much fuel remains.,La barra indica cuánto combustible queda.,La barre indique la quantité restante.
TUTORIAL_PLAY_FUEL_REPLACED,Novo extintor coletado. Continue apagando o fogo.,New extinguisher collected. Keep extinguishing the fire.,Nuevo extintor recogido. Sigue apagando el fuego.,Nouvel extincteur ramassé. Continuez à éteindre le feu.
